_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
34,13453096,Wilson Ave,Transit Rd,34,34,34,WILSON AVE,TRANSIT RD,6036,1237,Wilson Ave And Transit Rd / Billy Bishop Way,WILSON STN ENTRANCE,WILSON AVE,TRANSIT RD,BILLY BISHOP WAY,,,North York,York Centre(6),,,,32,,,2009-08-21T04:00:00,"c(-79.4528629934421, 43.7333830014361)"
35,13468837,Lake Shore Blvd W,Windermere Ave,35,35,35,LAKE SHORE BLVD W,WINDERMERE AVE,6037,0229,Lake Shore Blvd W And Windermere Ave / Private Access,,LAKE SHORE BLVD W,WINDERMERE AVE,PRIVATE ACCESS,,,Toronto and East York,Parkdale-High Park(4),,,,11,,,2008-05-29T04:00:00,"c(-79.46814699688, 43.6351890029381)"
36,13442867,Warden Ave,McNicoll Ave,36,36,36,WARDEN AVE,MCNICOLL AVE,6038,1287,Warden Ave And Mcnicoll Ave,,WARDEN AVE,MCNICOLL AVE,,,,Scarborough,Scarborough-Agincourt(22),,,,42,,,2009-03-17T04:00:00,"c(-79.3209749936509, 43.8063490021709)"
37,13454197,Keele St,Wilson Ave,37,37,37,KEELE ST,WILSON AVE,6039,0597,Keele St And Wilson Ave,,KEELE ST,WILSON AVE,,,,North York,York Centre(6),,,,31,,,2008-05-29T04:00:00,"c(-79.4820690045095, 43.7266419991172)"
38,13464191,Lansdowne Ave,Dupont St,38,38,38,LANSDOWNE AVE,DUPONT ST,6040,0844,Lansdowne Ave And Dupont St,,LANSDOWNE AVE,DUPONT ST,,,,Toronto and East York,Davenport(9),,,,11,,,2008-03-26T04:00:00,"c(-79.4464609943321, 43.6667250002628)"
39,13468197,Queen St W,Lansdowne Ave,39,39,39,QUEEN ST W,LANSDOWNE AVE,6041,1981,Queen St W And Lansdowne Ave / Jameson Ave,,QUEEN ST W,LANSDOWNE AVE,JAMESON AVE,,,Toronto and East York,Parkdale-High Park(4),,,,11,14,,2009-01-21T05:00:00,"c(-79.4369899986827, 43.6405599995531)"
40,13467689,Burnhamthorpe Rd,The East Mall,40,40,40,BURNHAMTHORPE RD,THE EAST MALL,6042,0948,Burnhamthorpe Rd And The East Mall,,BURNHAMTHORPE RD,THE EAST MALL,,,,Etobicoke York,Etobicoke Centre(2),,,,22,,,2008-03-26T04:00:00,"c(-79.5599919958505, 43.6463030043403)"
41,13451388,Keele St,Sheppard Ave W,41,41,41,KEELE ST,SHEPPARD AVE W,6043,0600,Keele St And Sheppard Ave W,,KEELE ST,SHEPPARD AVE W,,,,North York,York Centre(6),,,,31,,,2009-03-17T04:00:00,"c(-79.4864519947699, 43.7447770044339)"
42,13460183,Jane St,Bala Ave,42,42,42,JANE ST,BALA AVE,6045,1317,Jane St And Bala Ave / Emmett Ave,,JANE ST,BALA AVE,EMMETT AVE,,,Etobicoke York,York South-Weston(5),,,,12,,,2008-05-16T04:00:00,"c(-79.5006009970776, 43.6901420045761)"
43,13451997,Jane St,Clair Rd,43,43,43,JANE ST,CLAIR RD,6046,1127,Jane St And Clair Rd / Spenvalley Dr,,JANE ST,CLAIR RD,SPENVALLEY DR,,,Etobicoke York,Humber River-Black Creek(7),,,,31,,,2008-10-09T04:00:00,"c(-79.5136850048347, 43.74124000574)"
44,NA,,,44,44,44,O CONNOR DR,BERMONDSEY RD,6047,0448,O Connor Dr And Bermondsey Rd / Yardley Ave,,O CONNOR DR,BERMONDSEY RD,YARDLEY AVE,,,Toronto and East York,Beaches-East York(19),,,,54,,,2008-08-11T04:00:00,"c(-79.3074270054452, 43.7124530074629)"
45,13458312,Danforth Ave,Birchmount Rd,45,45,45,DANFORTH AVE,BIRCHMOUNT RD,6048,0359,Danforth Ave And Birchmount Rd,,DANFORTH AVE,BIRCHMOUNT RD,,,,Scarborough,Scarborough Southwest(20),,,,41,,,2009-04-01T04:00:00,"c(-79.2639990061325, 43.6969930097833)"
46,13460559,Islington Ave,The Westway,46,46,46,ISLINGTON AVE,THE WESTWAY,6049,0711,Islington Ave And The Westway,,ISLINGTON AVE,THE WESTWAY,,,,Etobicoke York,Etobicoke Centre(2),,,,23,,,2008-12-10T05:00:00,"c(-79.5428729970172, 43.6886200015324)"
47,13462422,Bathurst St,Davenport Rd,47,47,47,BATHURST ST,DAVENPORT RD,6050,0384,Bathurst St And Davenport Rd,,BATHURST ST,DAVENPORT RD,,,,Toronto and East York,Toronto-St. Paul's(12),,,,13,,,2009-03-18T04:00:00,"c(-79.415786001934, 43.6767300085459)"
48,13454488,Warden Ave,Comstock Rd,48,48,48,WARDEN AVE,COMSTOCK RD,6051,0690,Warden Ave And Comstock Rd,,WARDEN AVE,COMSTOCK RD,,,,Scarborough,Scarborough Southwest(20),,,,41,,,2008-10-28T04:00:00,"c(-79.2849930048744, 43.7215320000156)"
49,13464080,Eastern Ave,Lower Coxwell Ave,49,49,49,EASTERN AVE,LOWER COXWELL AVE,6053,0301,Eastern Ave And Lower Coxwell Ave,,EASTERN AVE,LOWER COXWELL AVE,,,,Toronto and East York,Toronto-Danforth(14),Beaches-East York(19),,,55,,,2009-08-13T04:00:00,"c(-79.3162150008697, 43.6654930038606)"
50,13446743,Midland Ave,Progress Ave,50,50,50,MIDLAND AVE,PROGRESS AVE,6055,0691,Midland Ave And Progress Ave,,MIDLAND AVE,PROGRESS AVE,,,,Scarborough,Scarborough Centre(21),,,,41,,,2009-04-16T04:00:00,"c(-79.2729859942398, 43.7729650001435)"
51,13448868,Lawrence Ave E,Bellamy Rd N,51,51,51,LAWRENCE AVE E,BELLAMY RD N,6056,0416,Lawrence Ave E And Bellamy Rd N,,LAWRENCE AVE E,BELLAMY RD N,,,,Scarborough,Scarborough Centre(21),Scarborough-Guildwood(24),,,43,,,2009-04-01T04:00:00,"c(-79.2352669931062, 43.757721009063)"
52,13456762,Danforth Rd,Birchmount Rd,52,52,52,DANFORTH RD,BIRCHMOUNT RD,6058,0417,Danforth Rd And Birchmount Rd,,DANFORTH RD,BIRCHMOUNT RD,,,,Scarborough,Scarborough Southwest(20),,,,41,,,2010-02-25T05:00:00,"c(-79.2681300060352, 43.7069980024562)"
53,13454486,St Clair Ave E,Brimley Rd,53,53,53,ST CLAIR AVE E,BRIMLEY RD,6059,0497,St Clair Ave E And Brimley Rd,,ST CLAIR AVE E,BRIMLEY RD,,,,Scarborough,Scarborough Southwest(20),,,,41,43,,2009-08-21T04:00:00,"c(-79.241447998072, 43.7208750056158)"
54,13456952,Keele St,Lawrence Ave W,54,54,54,KEELE ST,LAWRENCE AVE W,6060,0428,Keele St And Lawrence Ave W,,KEELE ST,LAWRENCE AVE W,,,,Etobicoke York,York South-Weston(5),,,,12,,,2009-03-19T04:00:00,"c(-79.4780619980855, 43.7086590072417)"
55,13464908,Bloor St W,Ossington Ave,55,55,55,BLOOR ST W,OSSINGTON AVE,6061,0341,Bloor St W And Ossington Ave,,BLOOR ST W,OSSINGTON AVE,,,,Toronto and East York,Davenport(9),University-Rosedale(11),,,14,,,2011-11-22T05:00:00,"c(-79.4256589977268, 43.6619839983533)"
56,13461356,Danforth Ave,Greenwood Ave,56,56,56,DANFORTH AVE,GREENWOOD AVE,6062,0348,Danforth Ave And Greenwood Ave,,DANFORTH AVE,GREENWOOD AVE,,,,Toronto and East York,Toronto-Danforth(14),,,,54,55,,2010-01-07T05:00:00,"c(-79.3323819969191, 43.6814840035033)"
57,13463494,Queen St E,Woodbine Ave,57,57,57,QUEEN ST E,WOODBINE AVE,6063,0548,Queen St E And Woodbine Ave,,QUEEN ST E,WOODBINE AVE,,,,Toronto and East York,Beaches-East York(19),,,,55,,,2009-08-06T04:00:00,"c(-79.3057750019252, 43.6687570069778)"
58,13466630,King St E,Jarvis St,58,58,58,KING ST E,JARVIS ST,6064,0003,King St E And Jarvis St,,KING ST E,JARVIS ST,,,,Toronto and East York,Toronto Centre(13),,,,51,,,2009-08-06T04:00:00,"c(-79.3719129962965, 43.6504630011365)"
59,13465164,Lake Shore Blvd E,Leslie St,59,59,59,LAKE SHORE BLVD E,LESLIE ST,6065,0206,Lake Shore Blvd E And Leslie St,,LAKE SHORE BLVD E,LESLIE ST,,,,Toronto and East York,Toronto-Danforth(14),,,,55,,,2009-08-06T04:00:00,"c(-79.3284359942956, 43.6592350040891)"
60,13467011,Lower Jarvis St,The Esplanade,60,60,60,LOWER JARVIS ST,THE ESPLANADE,6066,1392,Lower Jarvis St And The Esplanade,,LOWER JARVIS ST,THE ESPLANADE,,,,Toronto and East York,Spadina-Fort York(10),Toronto Centre(13),,,51,,,2009-08-06T04:00:00,"c(-79.3709320014031, 43.6482249963251)"
61,13465837,Lake Shore Blvd E,Carlaw Ave,61,61,61,LAKE SHORE BLVD E,CARLAW AVE,6067,0207,Lake Shore Blvd E And Carlaw Ave,,LAKE SHORE BLVD E,CARLAW AVE,,,,Toronto and East York,Toronto-Danforth(14),,,,55,,,2009-08-06T04:00:00,"c(-79.3374340022338, 43.6549600017234)"
62,13461587,Rogers Rd,Keele St,62,62,62,ROGERS RD,KEELE ST,6068,0394,Rogers Rd And Keele St,,ROGERS RD,KEELE ST,,,,Etobicoke York,York South-Weston(5),,,,12,,,2009-09-08T04:00:00,"c(-79.4715979979489, 43.6821360027129)"
63,13465876,Dundas St W,Bloor St W,63,63,63,DUNDAS ST W,BLOOR ST W,6069,0327,Dundas St W And Bloor St W,,DUNDAS ST W,BLOOR ST W,,,,Toronto and East York,Parkdale-High Park(4),,,,11,,,2009-08-11T04:00:00,"c(-79.4524529944122, 43.6563210073069)"
64,NA,,,64,64,64,YONGE ST,LAWRENCE AVE,6070,0055,Yonge St And Lawrence Ave,,YONGE ST,LAWRENCE AVE,,,,North York,Eglinton-Lawrence(8),Don Valley West(15),,,32,53,,2009-08-05T04:00:00,"c(-79.4021950065855, 43.7251010003172)"
